,theta,signal_vis_15,signal_tir_15,signal_vis_20,signal_tir_20,signal_vis_25,signal_tir_25
122,12.200000000000001,7.70399818814489e-14,7.971496193937799e-13,7.70399818814489e-16,7.971496193937801e-15,7.703998188144889e-18,7.9714961939378e-17
123,12.3,7.637762082978489e-14,7.93074755656909e-13,7.637762082978489e-16,7.930747556569091e-15,7.63776208297849e-18,7.930747556569091e-17
124,12.4,7.572210527908461e-14,7.890043045494975e-13,7.572210527908461e-16,7.890043045494978e-15,7.572210527908462e-18,7.890043045494976e-17
125,12.5,7.507336171354362e-14,7.849387587672799e-13,7.507336171354423e-16,7.8493875876728e-15,7.507336171354424e-18,7.849387587672799e-17
126,12.600000000000001,7.443131748751878e-14,7.808786002142574e-13,7.443131748751878e-16,7.808786002142574e-15,7.443131748751878e-18,7.808786002142574e-17
127,12.700000000000001,7.379590080610181e-14,7.768243000559337e-13,7.379590080610181e-16,7.768243000559339e-15,7.37959008061018e-18,7.768243000559339e-17
128,12.8,7.316704070662786e-14,7.72776318777602e-13,7.316704070662785e-16,7.72776318777602e-15,7.316704070662784e-18,7.727763187776019e-17
129,12.9,7.254466704106317e-14,7.687351062475021e-13,7.254466704106317e-16,7.687351062475023e-15,7.254466704106317e-18,7.68735106247502e-17
130,13.0,7.192871045921879e-14,7.647011017846168e-13,7.192871045921937e-16,7.64701101784617e-15,7.192871045921938e-18,7.647011017846169e-17
131,13.100000000000001,7.131910239275226e-14,7.606747342309174e-13,7.131910239275227e-16,7.606747342309176e-15,7.131910239275226e-18,7.606747342309176e-17
132,13.200000000000001,7.071577503990728e-14,7.566564220278294e-13,7.071577503990728e-16,7.566564220278296e-15,7.071577503990728e-18,7.566564220278294e-17
133,13.3,7.011866135095867e-14,7.526465732967415e-13,7.011866135095867e-16,7.526465732967416e-15,7.011866135095866e-18,7.526465732967415e-17
134,13.4,6.95276950143144e-14,7.486455859233498e-13,6.952769501431498e-16,7.486455859233499e-15,6.952769501431497e-18,7.486455859233497e-17
135,13.5,6.89428104432422e-14,7.446538476456307e-13,6.89428104432422e-16,7.446538476456308e-15,6.89428104432422e-18,7.446538476456307e-17
136,13.600000000000001,6.836394276318933e-14,7.406717361452743e-13,6.836394276318933e-16,7.406717361452744e-15,6.836394276318934e-18,7.406717361452743e-17
137,13.700000000000001,6.779102779965604e-14,7.366996191423671e-13,6.779102779965603e-16,7.366996191423672e-15,6.7791027799656035e-18,7.366996191423671e-17
138,13.8,6.722400206659683e-14,7.327378544931609e-13,6.722400206659682e-16,7.327378544931612e-15,6.722400206659682e-18,7.327378544931609e-17
139,13.9,6.666280275531351e-14,7.287867902907207e-13,6.666280275531349e-16,7.287867902907208e-15,6.66628027553135e-18,7.287867902907207e-17
140,14.0,6.610736772382516e-14,7.248467649683065e-13,6.610736772382461e-16,7.248467649683066e-15,6.610736772382462e-18,7.248467649683065e-17
141,14.100000000000001,6.555763548666703e-14,7.209181074052854e-13,6.555763548666703e-16,7.209181074052856e-15,6.555763548666702e-18,7.209181074052854e-17
142,14.200000000000001,6.501354520511785e-14,7.170011370354331e-13,6.501354520511785e-16,7.170011370354332e-15,6.501354520511784e-18,7.170011370354332e-17
143,14.3,6.447503667780965e-14,7.130961639574303e-13,6.447503667780965e-16,7.130961639574305e-15,6.447503667780965e-18,7.130961639574304e-17
144,14.4,6.39420503317159e-14,7.092034890474229e-13,6.394205033171589e-16,7.09203489047423e-15,6.394205033171589e-18,7.092034890474229e-17
145,14.5,6.341452721348374e-14,7.053234040734695e-13,6.341452721348374e-16,7.053234040734696e-15,6.341452721348373e-18,7.053234040734695e-17
146,14.600000000000001,6.289240898109605e-14,7.014561918117229e-13,6.289240898109605e-16,7.01456191811723e-15,6.289240898109606e-18,7.014561918117229e-17
147,14.700000000000001,6.237563789584154e-14,6.976021261642138e-13,6.237563789584154e-16,6.976021261642139e-15,6.2375637895841545e-18,6.976021261642137e-17
148,14.8,6.186415681457993e-14,6.937614722780714e-13,6.186415681457992e-16,6.937614722780715e-15,6.186415681457993e-18,6.937614722780714e-17
149,14.9,6.135790918227831e-14,6.899344866660581e-13,6.13579091822783e-16,6.899344866660582e-15,6.135790918227832e-18,6.899344866660581e-17
150,15.0,6.085683902480858e-14,6.861214173282693e-13,6.0856839024808575e-16,6.861214173282695e-15,6.085683902480858e-18,6.861214173282693e-17
151,15.100000000000001,6.036089094198527e-14,6.823225038748759e-13,6.036089094198477e-16,6.823225038748761e-15,6.036089094198477e-18,6.823225038748759e-17
152,15.200000000000001,5.987001010083387e-14,6.785379776497732e-13,5.987001010083387e-16,6.7853797764977336e-15,5.987001010083387e-18,6.785379776497732e-17
153,15.3,5.938414222907697e-14,6.747680618550173e-13,5.938414222907697e-16,6.747680618550174e-15,5.938414222907697e-18,6.747680618550173e-17
154,15.4,5.890323360881446e-14,6.710129716759313e-13,5.890323360881447e-16,6.710129716759314e-15,5.890323360881446e-18,6.710129716759313e-17
155,15.5,5.842723107040627e-14,6.672729144067576e-13,5.842723107040627e-16,6.672729144067578e-15,5.842723107040627e-18,6.672729144067576e-17
156,15.600000000000001,5.79560819865213e-14,6.635480895767557e-13,5.795608198652129e-16,6.635480895767559e-15,5.795608198652129e-18,6.635480895767558e-17
157,15.700000000000001,5.748973426636459e-14,6.598386890766245e-13,5.74897342663646e-16,6.598386890766246e-15,5.7489734266364595e-18,6.598386890766245e-17
158,15.8,5.702813635005598e-14,6.561448972851609e-13,5.702813635005645e-16,6.561448972851609e-15,5.702813635005645e-18,6.561448972851608e-17
159,15.9,5.6571237203162156e-14,6.524668911960392e-13,5.657123720316216e-16,6.524668911960393e-15,5.657123720316216e-18,6.524668911960392e-17
160,16.0,5.6118986311359914e-14,6.488048405446236e-13,5.611898631135992e-16,6.488048405446238e-15,5.6118986311359915e-18,6.488048405446236e-17
161,16.1,5.567133367524084e-14,6.451589079347257e-13,5.567133367524084e-16,6.4515890793472576e-15,5.567133367524084e-18,6.451589079347257e-17
162,16.2,5.522822980523267e-14,6.415292489652071e-13,5.522822980523267e-16,6.415292489652073e-15,5.522822980523268e-18,6.415292489652072e-17
163,16.3,5.4789625716631826e-14,6.37916012356351e-13,5.478962571663183e-16,6.3791601235635104e-15,5.4789625716631835e-18,6.37916012356351e-17
164,16.400000000000002,5.4355472924755975e-14,6.343193400759192e-13,5.435547292475598e-16,6.343193400759192e-15,5.435547292475598e-18,6.343193400759192e-17
165,16.5,5.3925723440186124e-14,6.307393674648101e-13,5.392572344018612e-16,6.307393674648101e-15,5.392572344018612e-18,6.3073936746481e-17
166,16.6,5.350032976410935e-14,6.271762233622599e-13,5.350032976410935e-16,6.2717622336226e-15,5.350032976410935e-18,6.2717622336226e-17
167,16.7,5.307924488375242e-14,6.236300302304969e-13,5.307924488375198e-16,6.2363003023049695e-15,5.307924488375198e-18,6.236300302304969e-17
168,16.8,5.2662422267895585e-14,6.201009042787923e-13,5.266242226789515e-16,6.201009042787923e-15,5.266242226789515e-18,6.201009042787923e-17
169,16.900000000000002,5.2249815862467206e-14,6.165889555868442e-13,5.22498158624672e-16,6.1658895558684425e-15,5.224981586246721e-18,6.165889555868442e-17
170,17.0,5.184138008621251e-14,6.130942882274217e-13,5.184138008621251e-16,6.130942882274217e-15,5.1841380086212505e-18,6.130942882274217e-17
171,17.1,5.143706982642768e-14,6.096170003882314e-13,5.143706982642767e-16,6.096170003882316e-15,5.143706982642768e-18,6.096170003882315e-17
172,17.2,5.1036840434765924e-14,6.061571844929289e-13,5.103684043476634e-16,6.06157184492929e-15,5.1036840434766345e-18,6.061571844929288e-17
173,17.3,5.064064772309851e-14,6.027149273212395e-13,5.06406477230985e-16,6.027149273212396e-15,5.06406477230985e-18,6.027149273212395e-17
174,17.400000000000002,5.0248447959435336e-14,5.992903101281322e-13,5.024844795943533e-16,5.992903101281324e-15,5.024844795943534e-18,5.992903101281323e-17
175,17.5,4.9860197863900053e-14,5.958834087620007e-13,4.986019786390006e-16,5.958834087620008e-15,4.986019786390006e-18,5.958834087620007e-17
176,17.6,4.947585460475587e-14,5.924942937818105e-13,4.947585460475587e-16,5.924942937818105e-15,4.947585460475587e-18,5.924942937818105e-17
177,17.7,4.909537579447512e-14,5.891230305731665e-13,4.909537579447553e-16,5.891230305731666e-15,4.9095375794475524e-18,5.891230305731666e-17
178,17.8,4.871871948586118e-14,5.857696794632707e-13,4.871871948586079e-16,5.857696794632708e-15,4.871871948586078e-18,5.857696794632707e-17
179,17.900000000000002,4.834584416820473e-14,5.824342958347223e-13,4.834584416820472e-16,5.824342958347224e-15,4.834584416820473e-18,5.824342958347223e-17
180,18.0,4.797670876348496e-14,5.791169302381435e-13,4.797670876348496e-16,5.791169302381436e-15,4.7976708763484965e-18,5.791169302381436e-17
181,18.1,4.761127262260635e-14,5.75817628503578e-13,4.761127262260635e-16,5.75817628503578e-15,4.761127262260634e-18,5.75817628503578e-17
